,6months_cluster_1,6months_cluster_2,6months_cluster_3,6months_cluster_4
0,0.0,0.0,0.0,0.0
1,3.900893151461999e-06,3.599362166110338e-05,4.151921822854514e-05,6.0766968729871576e-05
2,1.9530305489673374e-05,0.0001808055819244787,0.00020856830704349752,0.0003043839953725822
3,5.861174355860466e-05,0.0005449716715747718,0.0006282960566558592,0.0009140853124963447
4,0.0001367682860885409,0.0012774810953331524,0.0014713020390727505,0.0021341346793837526
5,0.0002734995016351882,0.0025666935227408767,0.002951687267966285,0.004269094001859085
6,0.0004921707853622118,0.004641158185487913,0.005326807581868417,0.00768311796488726
7,0.0008199685057818014,0.007770457537256442,0.008896840201721419,0.012799316672925682
8,0.0012722715374129845,0.012121909403347906,0.013838593150305476,0.01985621040899381
9,0.0018525198629496076,0.01775790281636704,0.020201371285850964,0.02890494199978104
10,0.002552304320045713,0.024632759167696448,0.0279040216016425,0.039809892266157984
11,0.003351225543055199,0.03258991121961154,0.03673347887355491,0.052248711887825545
12,0.004216871818666954,0.041358195495750386,0.04634446784678001,0.06571497757189168
13,0.005104768525082056,0.05054841466735629,0.05626045330115342,0.07952057836393238
14,0.0059584418381676855,0.05964967430308494,0.06587540139046306,0.0927977141849619
15,0.006732864582500719,0.06824257826788142,0.07470353150603698,0.10486495513099317
16,0.007394711615515822,0.07600144896596134,0.0823864018987367,0.11523268790094558
17,0.007922321487705476,0.0826979013742863,0.08869844759600823,0.12360182660217192
18,0.008306250791948813,0.08820461650596868,0.09354988146643196,0.12986490866883446
19,0.008549664484828846,0.0925008684876264,0.09698760538656645,0.1341027554295959
20,0.00866869641717912,0.09567796966900638,0.09919412098875274,0.13658187722491266
21,0.008692687347981828,0.09794535364712276,0.10048514645906395,0.1377527481845562
22,0.008648665715327138,0.09949083240888579,0.10114259212349372,0.13800563752132378
23,0.008561112444086035,0.10048159850302306,0.10140856531619294,0.13766545381260786
24,0.008451784987038887,0.10106366203396129,0.10148023948241883,0.13699379646246604
25,0.008338746042908716,0.10135991123712534,0.10150685409907938,0.13618630735328974
26,0.008235406172992118,0.1014665282089116,0.10158810439547786,0.13537372441320153
27,0.008149726043842447,0.1014499205225335,0.10177396762890496,0.1346221825987771
28,0.00808346701235143,0.10134300148760297,0.10206522851273653,0.1339324972806997
29,0.008035785136658142,0.10117978481591922,0.10245467333304975,0.1333001310545278
30,0.008003322474881782,0.10099471135212082,0.10292890065831628,0.13271791184475992
31,0.00798055169870685,0.1008228041128971,0.10346987415525168,0.13217431050001624
32,0.007960822449270011,0.1007009934751251,0.10405593240486624,0.13165673470328004
33,0.007937510391766506,0.10067034914717522,0.10466310610975954,0.1311532247303593
34,0.007904965580786072,0.1007743866902284,0.1052660381075006,0.1306544986911177
35,0.007859429988104877,0.10105715689363853,0.10583921219235186,0.13015675684847325
36,0.007799499023655409,0.1015583999825003,0.10635861495883371,0.12966377120412959
37,0.007726107636562107,0.10230820325263905,0.10680255273450474,0.12918592418469454
38,0.007642249134794335,0.10332057108171035,0.10715288053330974,0.12874056362192646
39,0.00755215286581723,0.10458927141934563,0.1073959618513708,0.12834926189463577
40,0.007460491044170198,0.10608264604476889,0.1075225850938832,0.1280356564726178
41,0.007371702643494659,0.10774623831176008,0.10752795349775429,0.12782218610740098
42,0.007289345539304819,0.10950653853363325,0.10741134758611036,0.1277263909182716
43,0.0072156039176585205,0.11127823005565828,0.1071751459088896,0.1277583817736063
44,0.007151366133858349,0.11297267194857562,0.10682444281271629,0.12792001765344443
45,0.007096324433254017,0.11450982761896226,0.10636567424090168,0.12820397825254107
46,0.00704938290321094,0.11582426803131729,0.10580543314849797,0.1285949267069705
47,0.007009023314077955,0.11687284424369332,0.10514946359572752,0.1290696388324498
48,0.0069735876982213035,0.117636274604491,0.10440165561812688,0.12959989442769942
49,0.006941518601273134,0.1181197449211093,0.10356248197248041,0.1301550050523438
50,0.0069116977296763355,0.11835044148090705,0.10262813866586536,0.13070301196469078
51,0.006883308162763977,0.11837430323613744,0.10158974404999542,0.13121168554942944
52,0.006855817432477562,0.1182469614690151,0.10043391797717606,0.1316502339343643
53,0.006829014137912275,0.11802932776801321,0.09914352539345211,0.1319883839174611
54,0.006802813685900614,0.11778187705297216,0.09769957294974672,0.13219792892717885
55,0.006777229712065959,0.1175598005825494,0.09608327378833503,0.1322521707754792
56,0.006752541778716661,0.11740854251214666,0.0942797351503907,0.1321276127004119
57,0.006729269155903035,0.11736285647674233,0.09228227705965171,0.13180791004263653
58,0.006708290782618117,0.11744593441660783,0.09009566691751031,0.13128777592376048
59,0.006690896019158773,0.11767428753744455,0.08773851141453633,0.13057577889974392
60,0.006678576686433501,0.11806185130873971,0.08524479626667206,0.1296987824984211
61,0.006673298570966397,0.11862457950142892,0.08266282715361079,0.12870198310733724
62,0.006677647794484453,0.11938551870299267,0.08005279262102977,0.1276476014808333
63,0.006694833634031464,0.12037997044321339,0.07748234204492062,0.12661003765770126
64,0.006729075261781222,0.1216559271950792,0.07501968191960418,0.12566820568675863
65,0.006786195127960385,0.12327380641364961,0.07272791904497988,0.12489809210772045
66,0.006874147087486397,0.1253016246985577,0.07065896606894866,0.12436578319879277
67,0.007003610954612839,0.12780870462086477,0.06884846077958516,0.12412065513485639
68,0.007187568361671074,0.1308569006038934,0.06731372479723825,0.12419314062783415
69,0.007440569082180831,0.13449124686808397,0.06605371281604062,0.12459440548617329
70,0.007777210184317801,0.13872882567803535,0.06504987409863869,0.12531728415250173
71,0.008209809240759088,0.14354952424587927,0.06426913147109002,0.12633767454127642
