,full_cluster_1,full_cluster_2,full_cluster_3,full_cluster_4,full_cluster_5
0,0.0,0.0,0.0,0.0,0.0
1,2.7551125459031055e-09,4.491880712628144e-09,4.518808247746041e-09,1.6078705644422802e-08,3.1537592993800434e-08
2,1.7740203878390607e-08,2.990550276844103e-08,2.8323319577110636e-08,9.543497136762305e-08,1.6230896032787776e-07
3,6.6670263436842e-08,1.1486189431982573e-07,1.0773769604645838e-07,3.3448298653888124e-07,5.17373977062074e-07
4,1.931440659057909e-07,3.38076979942599e-07,3.18012202743666e-07,9.003371045124741e-07,1.3041201503861259e-06
5,4.7547591936072035e-07,8.382393896052037e-07,8.049374003804781e-07,2.0532302775512627e-06,2.842687775979737e-06
6,1.0436030126014563e-06,1.8336734706861492e-06,1.8224236606347345e-06,4.1592091176790585e-06,5.604911907095602e-06
7,2.1003677816166685e-06,3.6462783210132287e-06,3.77540563117337e-06,7.716274539133284e-06,1.0260407285522604e-05
8,3.936935219788868e-06,6.711181249056324e-06,7.256408846415378e-06,1.3317420865891882e-05,1.759454229581887e-05
9,6.9553816730130835e-06,1.15688179312815e-05,1.3080480119895067e-05,2.1628304752154024e-05,2.8544916828189397e-05
10,1.1696307815426608e-05,1.8854500642254184e-05,2.2297655180329423e-05,3.336114874526126e-05,4.417121313573497e-05
11,1.8854066949968572e-05,2.9259359694120896e-05,3.617974606048437e-05,4.9227608361075215e-05,6.560153591767874e-05
12,2.9282211182714933e-05,4.348184797185377e-05,5.6176040567491314e-05,6.990227806675924e-05,9.395123932944939e-05
13,4.3992339215170576e-05,6.21911615251113e-05,8.383735498858467e-05,9.602793762534929e-05,0.0001301966381609126
14,6.414363314886603e-05,8.598506943512597e-05,0.00012073323610976269,0.00012816012193935116,0.00017500366907866703
15,9.102715022886356e-05,0.00011536205238573473,0.00016832451093653296,0.00016678240932272405,0.00022874126799252628
16,0.0001260273038127723,0.0001507523040626507,0.00022787659692999985,0.00021228112527826306,0.0002912656812031051
17,0.0001705624986961018,0.00019255549606023647,0.0003003818012611927,0.00026487421121428305,0.00036186122324094797
18,0.00022604035450286242,0.0002412326513272399,0.00038652523430823365,0.00032462464104727025,0.0004392617158891341
19,0.0002938320203292091,0.000297450605032935,0.0004865859755059861,0.00039137561858534393,0.0005217280073251259
20,0.00037525058131303773,0.0003622141558461507,0.0006004364769410559,0.0004646519167483929,0.0006072245966693073
21,0.00047150862329938074,0.00043700553747639734,0.0007274685504506732,0.000543676921882164,0.0006937183769066683
22,0.0005837078631054662,0.0005239581085833561,0.000866695651418865,0.0006274434179209653,0.0007793298976335457
23,0.0007128074047982602,0.0006259113556231588,0.0010166348558637154,0.0007147718664736697,0.0008627380604891528
24,0.0008596029299603718,0.000746378525080727,0.0011752761366621185,0.0008045611737729601,0.0009432251514410782
25,0.0010246953157979177,0.0008894498810119521,0.0013400203152453666,0.0008957900157251791,0.0010205335909418088
26,0.0012084460163864275,0.0010595557624269608,0.001507898223577034,0.0009877171063628518,0.001094665667994122
27,0.0014109054008967013,0.0012611186248954994,0.0016755435202959043,0.0010799546566630075,0.0011655608943983726
28,0.0016318820739931303,0.00149814470773822,0.0018394423028122717,0.0011723997424257667,0.0012325861253652192
29,0.0018709667613608489,0.0017736721715947742,0.001995876876314454,0.0012649112800013412,0.0012942935270469594
30,0.002127688777480898,0.0020893242257330456,0.002141298133196356,0.0013572202678855535,0.001348060783897675
31,0.002401680384870615,0.002445049935756002,0.0022725311221652874,0.001448466247575493,0.0013903659315217768
32,0.002692836104082795,0.0028388857697911646,0.0023869704349710453,0.0015372058712418129,0.0014173610843669661
33,0.0030013786045718993,0.0032668232619265324,0.0024824425291719286,0.0016211676396866517,0.001425477494624073
34,0.0033279338838189403,0.003723042789344788,0.0025575441893604125,0.001697363093741029,0.0014121461551408407
35,0.003673256581141453,0.004200246962211838,0.002611582610965938,0.0017623534423454,0.0013766965429479867
36,0.0040379360593798905,0.00469014279926335,0.0026448542218080002,0.0018128937173258776,0.0013206754368420878
37,0.0044219120482563105,0.005183926377135827,0.0026586510612106895,0.0018461188766162155,0.0012480349418565765
38,0.004824011527984533,0.005672698904326868,0.0026553670982547915,0.0018601927912378754,0.001164648266536155
39,0.005241533052011981,0.006147868760457762,0.00263867649930999,0.001854431883836001,0.0010774999851766748
40,0.005670103550145208,0.006601696848642983,0.002613822066505441,0.001829590346930264,0.0009938481085049174
41,0.006103707873155447,0.007027294818588626,0.002587290594834432,0.0017877625758631643,0.0009202811405572092
42,0.006535229148497736,0.007418659710096021,0.002566689836587488,0.001732150240658464,0.0008616767363665738
43,0.006957158077499314,0.007770780606556307,0.0025603345680134215,0.0016665096211522692,0.0008208083219348345
44,0.007362456159371232,0.008079731965988936,0.0025765587600225875,0.0015950474869152497,0.000798225741090895
45,0.007745363268267384,0.008342577599032407,0.0026230249670697553,0.0015219182485691608,0.0007925503602345744
46,0.008102088037232436,0.008557501831161449,0.0027057902101913583,0.0014510227276480496,0.0008010077328407342
47,0.008431229592712086,0.008723606548797655,0.002828468570193346,0.0013857976979459099,0.0008200136536336061
48,0.008733817367046273,0.008841274261119478,0.0029918357769317945,0.0013291834492549248,0.0008457983530214898
49,0.009012816011564418,0.008912292792923656,0.0031936641355751654,0.001283646801100505,0.0008750253791591892
50,0.009272429308689982,0.008939774687436916,0.0034287791240832687,0.001251340933510738,0.0009050546493264084
51,0.009517345058902948,0.008928054962093304,0.0036898790989926076,0.0012340053825651545,0.000934007709950959
52,0.009751942083212626,0.008882892169138575,0.003968382139556082,0.0012330894802248713,0.000960632147067421
