,area,shift 1,shift 2,shift 3,shift 4,shift 5,shift 6,shift 7,shift 8,shift 9,shift 10,shift 11,shift 12,shift 13,shift 14,shift 15,shift 16,shift 17,shift 18,shift 19,shift 20,shift 21,shift 22,shift 23,shift 24,shift 25,shift 26,shift 27,shift 28,shift 29,shift 30,shift 31,shift 32,shift 33,shift 34,shift 35,shift 36,labels
76,Kosovo,0,0,0,0,0,1,5,5,5,2,1,5,5,7,8,8,8,8,4,5,5,7,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,0
77,Kuwait,0,0,0,0,0,1,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,7,8,8,8,8,8,8,-1,-1,-1,-1,2
78,Kyrgyzstan,0,0,0,0,0,0,0,0,1,5,5,5,7,8,8,4,5,5,5,5,7,8,8,8,4,5,5,5,5,5,5,5,-1,-1,-1,-1,3
79,Latvia,0,0,0,0,1,5,5,5,2,0,0,0,0,0,0,0,0,1,5,7,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,0
80,Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,1
81,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,2,1,5,5,5,2,0,0,0,1,5,7,8,4,5,2,0,1,2,-1,2
82,Libya,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,1
83,Lithuania,0,0,0,0,1,5,5,2,0,0,0,0,0,1,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,0
84,Luxembourg,0,0,0,0,1,7,8,8,4,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,1
85,Madagascar,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,-1,-1,-1,-1,-1,-1,4
86,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,2,0,-1,-1,-1,-1,-1,4
87,Malaysia,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,7,8,8,8,8,4,5,-1,-1,-1,-1,0
88,Malta,0,0,0,0,1,5,5,5,5,5,2,1,2,0,0,1,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,1
89,Mexico,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,4,5,5,-1,-1,-1,-1,-1,-1,0
90,Moldova,0,0,0,0,0,1,5,5,5,5,7,8,4,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,1
91,Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,1,5,2,1,5,5,5,7,-1,-1,-1,-1,0
92,Montenegro,0,0,0,0,1,5,5,2,0,0,0,1,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,1
93,Morocco,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,7,8,8,8,8,8,8,4,5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,3
94,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,1,2,0,0,0,0,1,5,5,5,5,5,2,-1,-1,-1,4
