,Province/State,Country/Region,Lat,Long,total_cases,area,populations,peak_cases,normalized_peak,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20
18,no province,Bahamas,25.025885,-78.035889,7312,no province Bahamas,393244.0,310.0,0.0007883146341711507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,4,1,0,1,3,0,7,3,0,4,0,1,4,7,1,1,4,0,1,2,0,4,1,1,0,5,5,0,7,1,5,2,0,0,0,1,0,2,0,0,6,3,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,2,3,3,5,5,9,15,21,20,25,55,42,10,16,40,65,37,24,66,25,49,31,36,36,10,69,48,20,47,44,47,53,30,133,63,14,95,107,79,93,62,19,14,15,110,97,37,78,32,50,59,61,49,0,90,30,40,39,136,0,93,114,0,80,24,55,90,0,37,101,103,49,151,81,91,0,48,0,65,220,0,97,112,77,43,107,154,0,0,310,55,85,0,28,194,132,111,75,70,150,128,84,133,0,142,0,92,47,58,37,70,0,21,55,53,39,0,65,0,17,48,48,64,39,0,23,70,56
21,no province,Barbados,13.1939,-59.5432,250,no province Barbados,287375.0,12.0,4.175728577642453e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,8,3,1,0,0,6,2,7,0,1,0,12,5,1,4,4,3,0,3,1,1,3,1,0,1,2,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,12,10,0,0,1,0,5,0,4,0,1,1,0,4,2,1,1,1,2,1,1,1,3,0,3,1,0,1,4,3,1,2,0,1,1,0,0,1,1,0,0,0,0,1,2,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3,0,3,3,1,0,3,0,1,2,2,0,2,5,3,1,0,2,1,0,0,2,2,1,0,6,0,1,0,2,1,0,1,0,1,0,3,0,0,1,0,6,0,0,0,1,0,0
24,no province,Belize,17.1899,-88.4976,4920,no province Belize,397628.0,201.0,0.0005054976007725814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,1,1,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,7,0,0,0,2,0,1,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,8,1,0,0,29,28,0,32,7,24,0,33,86,60,32,64,23,0,78,52,43,20,18,27,17,30,58,52,94,29,14,43,51,0,51,42,0,113,54,4,0,70,23,22,21,27,8,31,23,16,21,8,0,71,0,102,17,0,66,0,101,0,88,0,51,65,47,67,63,54,0,104,38,16,34,63,46,47,38,20,53,51,58,55,56,39,0,55,61,0,201,25,90,47,166,115,72,39,60,100,54,184,106,76,119,68,78,22,37
25,no province,Benin,9.3077,2.3158,2884,no province Benin,12123200.0,139.0,1.1465619638379306e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,3,4,0,3,0,6,4,0,0,0,9,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,10,0,0,0,0,26,0,0,6,0,0,44,102,42,35,0,8,0,12,0,0,0,0,-209,0,5,0,0,56,0,17,2,0,14,0,8,11,1,0,17,0,0,0,27,17,0,0,83,24,30,41,49,40,25,53,0,115,42,43,52,115,36,71,25,38,12,0,0,0,0,0,0,0,0,86,0,93,0,0,0,0,85,139,0,0,0,0,88,4,0,0,76,0,0,35,0,0,0,0,0,109,22,0,0,0,0,0,65,13,0,0,49,0,0,0,32,0,0,20,0,0,0,30,0,0,0,0,0,0,49,0,0,19,0,0,0,29,0,0,0,25,0,0,13,0,0,0,0,14,0,31,0,0,0,15,0,0,17,0,0,0,0,0,0,54,0,0,0,0,0,0,67,18,0,0,0,0,0,61,0,0,0,0,0,0,86,0,0,0,40,0,0,62,0,0,0,0,36,0,63,0,0,0,0,40,0
26,no province,Bhutan,27.5142,90.4336,378,no province Bhutan,771608.0,29.0,3.758385086727976e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,1,0,0,0,0,0,0,0,3,0,3,0,1,3,0,2,10,0,4,0,0,1,0,11,0,0,0,3,0,4,0,1,0,0,0,1,0,0,0,2,0,0,0,5,1,1,0,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0,2,1,0,2,1,2,0,0,0,0,3,4,0,0,2,0,1,0,1,2,0,3,0,0,2,0,3,0,15,5,0,5,3,6,0,6,1,1,0,1,17,0,11,11,0,29,1,2,0,0,1,0,0,5,1,0,4,3,3,1,0,1,0,0,6,7,2,0,0,0,2,0,8,2,7,1,1,0,1,0,15,1,1,4,0,2,0,3,0,4,3,0,0,9,2,3,1,1,4,0,4,2,0,3,1,0,2,1,5,2,2,0,0,0,1,0,5,0,0,5,0,6,0,2,1
31,no province,Brunei,4.5353,114.7277,148,no province Brunei,437479.0,26.0,5.943142413693e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,26,3,10,4,2,12,7,3,5,5,3,13,5,5,1,5,6,1,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,no province,Burkina Faso,12.2383,-1.5616,2652,no province Burkina Faso,20903273.0,193.0,9.233003845857058e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,12,0,5,13,7,24,11,24,15,32,6,28,27,15,24,15,21,6,14,16,27,19,20,30,29,0,41,13,0,31,14,4,11,8,11,5,19,9,7,13,0,3,3,3,3,4,4,3,10,10,16,41,7,8,4,3,9,6,7,0,7,2,14,0,0,13,3,2,0,0,18,0,13,2,0,0,0,0,34,3,1,3,0,1,1,1,0,1,0,0,2,0,1,4,0,1,1,2,0,4,12,15,7,0,18,0,3,0,5,13,7,0,13,3,0,2,15,13,3,0,1,1,0,7,2,5,13,0,1,4,5,11,0,14,5,0,1,0,37,0,7,3,0,5,0,17,0,29,7,2,15,10,2,27,13,0,5,12,0,0,23,18,0,14,0,0,0,5,11,2,0,5,33,0,44,11,3,10,10,13,15,193,10,16,15,19,30,19,30,50,11,22,21,12,11,35,20,4,24,32,35,31,13,17,13,25,19,13,17,0,23,11,0,30,8,0,38,6,19,0,8,19,11,7,8,7,0,5,6,23,0,17,13,9,11,12,3,4,12,1,4,0,23,26,6,11,0
35,no province,Burundi,-3.3731,29.9189,631,no province Burundi,11890784.0,78.0,6.559702034785932e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,19,0,0,0,0,40,0,0,0,0,0,26,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,78,0,0,34,7,0,0,12,6,0,17,0,16,0,17,0,9,0,0,8,0,0,0,0,5,0,5,3,0,0,1,1,2,0,1,0,3,6,0,4,3,1,0,0,0,1,2,12,0,0,0,3,0,3,9,2,4,0,0,3,0,2,1,0,0,0,1,0,0,0,1,0,2,1,6,2,0,17,4,2,2,3,0,0,1,0,1,0,0,2,7,1,4,0,0,2,5,6,7,1,0,1,2,2,2,0,1,1,1,22,3,4,0,8,9,0,0,6,0,2,1,5,3,1,3,1,2,1
36,no province,Cabo Verde,16.5388,-23.0418,9960,no province Cabo Verde,555987.0,159.0,0.00028597790955543924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,45,0,0,2,3,6,1,5,9,6,2,16,3,5,0,7,1,30,13,10,11,5,27,12,6,10,14,7,22,26,11,2,0,0,7,14,7,6,9,9,10,0,0,0,15,16,14,23,8,11,25,34,6,12,13,18,30,42,40,29,24,10,21,11,31,25,15,27,54,38,17,4,24,64,64,10,62,40,34,81,39,30,12,36,43,10,39,32,0,75,24,58,114,45,75,31,26,36,47,36,30,38,49,21,26,19,45,33,29,67,36,48,58,45,46,55,23,25,37,80,73,63,27,16,24,50,68,47,44,43,54,23,36,62,69,46,33,74,32,86,78,77,75,75,55,28,42,73,84,94,60,102,26,65,74,85,78,45,71,24,56,75,67,149,73,70,46,83,124,102,79,91,64,73,85,106,93,92,104,159,83,99,117,73,82,112,114,48,101,132,89,76,124,74,27,49,76,55,91,99,55,34,62,109,96,75,67,78,50,80,61,134,47,39,42,18,120
37,no province,Cambodia,11.55,104.9167,304,no province Cambodia,16718965.0,31.0,1.8541817630457387e-06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,26,2,2,14,2,31,3,4,5,0,3,0,4,4,2,0,1,4,0,0,0,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0,1,5,0,0,0,0,26,1,4,0,23,0,1,0,0,8,5,1,0,0,3,0,0,3,2,3,0,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,2,1,2,3,0,1,0,1,0,0,1,1
41,Diamond Princess,Canada,0.0,0.0,0,Diamond Princess Canada,3711.0,1.0,0.00026946914578280785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Grand Princess,Canada,0.0,0.0,13,Grand Princess Canada,3587.0,6.0,0.0016727069974909396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Manitoba,Canada,53.7609,-98.8139,11608,Manitoba Canada,1360396.0,494.0,0.0003631295593341939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,7,2,0,1,2,0,1,14,1,3,25,8,24,7,24,40,15,0,21,0,14,0,4,9,13,-1,4,0,0,4,0,3,1,0,1,2,5,1,4,4,2,0,2,2,4,1,0,1,1,2,-3,1,0,3,2,1,0,-1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,1,0,2,1,0,2,0,0,0,0,0,0,1,2,1,0,0,2,2,3,2,0,1,0,1,1,2,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,5,1,6,11,12,8,1,9,4,6,6,5,2,2,6,2,18,7,1,1,30,17,16,35,16,4,16,25,40,20,34,34,17,15,33,34,42,72,49,25,25,21,32,59,31,28,18,12,20,9,21,29,15,11,16,13,15,17,18,21,17,23,11,40,18,28,22,24,42,37,53,65,51,39,34,40,36,43,36,32,51,55,32,66,84,96,54,77,124,146,173,75,0,129,80,109,135,147,162,153,161,100,183,169,193,480,349,311,241,102,374,426,242,270,441,365,383,430,474,434,237,494,392,269
44,New Brunswick,Canada,46.5653,-66.4619,379,New Brunswick Canada,767214.0,20.0,2.6068345989515313e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,3,0,0,6,0,0,1,0,15,12,6,15,2,2,11,10,0,0,7,5,2,0,3,4,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,2,1,3,0,1,2,1,0,0,1,9,1,4,2,1,3,0,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,1,2,0,4,2,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,1,0,2,2,17,3,13,20,14,6,6,8,0,5,0,13,3,0,6,3,2,2,2,3,3,3,4,1,1,1,0,0,3,2,1,3,1,1,0,0,1,2,6,3,8,4
45,Newfoundland and Labrador,Canada,53.1355,-57.6604,305,Newfoundland and Labrador Canada,523790.0,47.0,8.973061723209684e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,3,15,11,0,47,20,18,15,13,4,23,8,12,0,22,9,2,0,4,7,2,1,2,0,3,5,4,1,0,0,0,-1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2,3,0,1,0,0,1,3,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,1,0,1,2,2,0,2
46,Northwest Territories,Canada,64.8255,-124.8457,15,Northwest Territories Canada,45161.0,4.0,8.857199796284405e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
47,Nova Scotia,Canada,44.682,-63.7443,1151,Nova Scotia Canada,965382.0,65.0,6.733085970113386e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,2,1,6,7,13,10,17,5,17,20,12,5,20,26,20,14,29,26,31,17,0,32,65,21,17,29,43,32,30,27,43,26,46,16,35,55,23,15,8,27,15,20,12,12,4,8,14,6,7,9,1,3,7,1,1,4,2,8,3,3,3,1,1,1,2,1,1,1,1,1,2,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,0,1,2,0,0,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,3,0,1,1,0,0,2,5,2,2,1,4,1,2,4,3,1,3,2,0,2,6,2,2,5
49,Prince Edward Island,Canada,46.5107,-63.4168,68,Prince Edward Island Canada,158717.0,7.0,4.410365619309841e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,4,2,0,7,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
